,0
0,0
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,0
177,1
178,0
179,1
180,0
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,1
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,0
254,1
255,0
256,1
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,1
374,0
375,1
376,0
377,1
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,1
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,1
549,0
550,1
551,0
552,1
553,0
554,1
555,0
556,1
557,0
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,1
589,0
590,1
591,0
592,1
593,0
594,1
595,0
596,1
597,0
598,1
599,0
600,1
601,0
602,1
603,0
604,1
605,0
606,1
607,0
608,1
609,0
610,1
611,0
612,1
613,0
614,1
615,0
616,0
617,1
618,0
619,1
620,0
621,1
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,1
630,0
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,1
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,0
651,1
652,0
653,1
654,0
655,1
656,0
657,1
658,0
659,1
660,0
661,1
662,0
663,1
664,0
665,1
666,0
667,1
668,0
669,1
670,0
671,1
672,0
673,1
674,0
675,1
676,0
677,1
678,0
679,1
680,0
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,0
691,1
692,0
693,1
694,0
695,1
696,0
697,1
698,0
699,1
700,0
701,1
702,0
703,1
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,1
724,0
725,1
726,0
727,1
728,0
729,1
730,1
731,0
732,1
733,0
734,1
735,0
736,1
737,0
738,1
739,0
740,1
741,0
742,1
743,0
744,1
745,0
746,1
747,0
748,1
749,0
750,1
751,0
752,1
753,0
754,1
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,1
763,0
764,1
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,1
787,0
788,1
789,0
790,1
791,0
792,1
793,0
794,1
795,0
796,1
797,0
798,1
799,0
800,1
801,0
802,1
803,0
804,1
805,0
806,1
807,0
808,1
809,0
810,1
811,0
812,1
813,0
814,1
815,0
816,1
817,0
818,1
819,0
820,1
821,0
822,1
823,0
824,1
825,0
826,1
827,0
828,1
829,0
830,1
831,0
832,1
833,0
834,1
835,0
836,1
837,0
838,1
839,0
840,1
841,0
842,0
843,1
844,0
845,1
846,0
847,1
848,0
849,1
850,0
851,1
852,0
853,1
854,0
855,1
856,0
857,1
858,0
859,1
860,0
861,1
862,0
863,1
864,0
865,1
866,0
867,1
868,0
869,1
870,0
871,1
872,0
873,1
874,0
875,1
876,0
877,1
878,0
879,1
880,0
881,1
882,0
883,1
884,0
885,1
886,0
887,1
888,0
889,1
890,0
891,1
892,0
893,1
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,1
908,0
909,1
910,0
911,1
912,0
913,1
914,0
915,1
916,0
917,1
918,0
919,1
920,0
921,1
922,0
923,1
924,0
925,1
926,0
927,1
928,0
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,0
939,1
940,0
941,1
942,0
943,1
944,0
945,1
946,0
947,1
948,0
949,1
950,0
951,1
952,0
953,1
954,0
955,1
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,1
968,0
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,0
977,1
978,0
979,1
980,0
981,1
982,0
983,1
984,0
985,1
986,0
987,1
988,0
989,1
990,0
991,1
992,0
993,1
994,0
995,1
996,0
997,1
998,0
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,1
1006,0
1007,1
1008,0
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1033,0
1034,1
1035,0
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,1
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
